ID,Parcours,Module,Objectif business,Prerequis,Instructions,Resultat_attendu,KPI_cible,Persona,Priorite
UC-020,Automation,Flows WhatsApp,Automatiser parcours interactifs clients,"Canal configure","1. Ouvrir /whatsapp/flows
2. Creer flow
3. Definir categories",Flow commercial cree,"Nb flows actifs",Owner,Haute
UC-021,Automation,Publication flow,Rendre un flow disponible en production,"Flow en brouillon valide","1. Ouvrir detail flow
2. Publier",Flow exploitable client,"Taux de publication reussie",Owner,Haute
UC-022,Automation,Suivi reponses flow,Mesurer l engagement interactif,"Flow avec trafic","1. Ouvrir detail flow
2. Consulter onglet reponses",Donnees conversationnelles exploitables,"Taux de completion flow",Marketing,Moyenne
UC-023,Agent IA,Activation agent IA,Offrir reponse instantanee 24/7,"Canal WhatsApp + credits IA","1. Ouvrir /whatsapp/ai-tools
2. Activer IA
3. Sauvegarder",Agent IA actif,"Taux de conversations auto-traitees",Owner,Haute
UC-024,Agent IA,Consignes metier IA,Aligner les reponses au discours commercial,"Agent IA actif","1. Editer instructions IA
2. Choisir modele
3. Sauvegarder",Reponses IA coherentes,"Score qualite reponse",Owner,Haute
UC-025,Agent IA,Base de connaissance,Augmenter precision de l IA,"Module AI Tools accessible","1. Creer vector store
2. Uploader docs produit/FAQ
3. Associer au bot",IA mieux contextualisee,"Taux de resolution sans escalade",Support,Haute
UC-026,Agent IA,Maintenance base de connaissance,Garder l IA a jour business,"Vector store existant","1. Supprimer docs obsoletes
2. Ajouter nouvelles offres",Connaissance actualisee,"Diminution erreurs de reponse",Owner,Moyenne
UC-027,Monetisation,Credits WhatsApp,Assurer la continuite des campagnes,"Role owner","1. Ouvrir /whatsapp/credits
2. Consulter soldes",Vision budgetaire claire,"Solde disponible avant campagne",Owner,Haute
UC-028,Monetisation,Recharge credits WhatsApp,Eviter interruption d envoi,"Preuve de paiement disponible","1. Choisir pack
2. Uploader preuve
3. Soumettre",Demande de recharge creee,"Temps entre demande et approbation",Owner,Haute
UC-029,Monetisation,Top-up libre,Adapter budget aux pics de campagne,"Preuve de paiement disponible","1. Ouvrir top-up libre
2. Saisir montant
3. Soumettre",Recharge flexible demandee,"Delai de remise en capacite",Owner,Moyenne
UC-030,Monetisation,Credits IA,Maintenir la disponibilite du bot IA,"Role owner","1. Ouvrir /whatsapp/ai-credits
2. Verifier solde
3. Demander un pack si besoin",Capacite IA preservee,"Taux de rupture credits IA",Owner,Haute
UC-031,Pilotage,Dashboard commercial,Suivre la traction business,"Donnees campagnes et conversations","1. Ouvrir /dashboard
2. Lire KPI et tendances",Pilotage quotidien possible,"Messages envoyes / lus / delivres",Owner,Haute
UC-032,Collaboration,Invitation membre equipe,Accelerer l execution go-to-market,"Role owner","1. Ouvrir /organization/members
2. Inviter un membre
3. Partager le lien",Equipe embarquee,"Temps onboarding collaborateur",Owner,Moyenne
UC-033,Collaboration,Gestion roles equipe,Securiser la collaboration commerciale,"Membres presents","1. Ouvrir /organization/members
2. Ajuster les roles",Droits alignes aux responsabilites,"Incidents d acces reduits",Owner,Moyenne
UC-034,Retention,Securite compte,Reduire le risque de perte d acces,"Utilisateur connecte","1. Ouvrir /settings
2. Changer mot de passe",Compte securise,"Incidents de connexion",Client,Moyenne
UC-035,Qualite donnees,Nettoyage base contacts,Ameliorer performance campagnes,"Base contacts existante","1. Supprimer contacts invalides
2. Mettre a jour fiches
3. Retagger",Base saine et exploitable,"Taux de delivrabilite ameliore",Marketing,Moyenne
